Wallclock Time Elapsed (s),Host Cycles Executed,Host Frequency (MHz),Target Cycles Emulated,Effective Target Frequency (MHz),FMR,HW Config,Workload,Run
1.6 s,78238185,50.000 MHz,78185837,49.966 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd.json,5
1.6 s,78238848,50.000 MHz,78185837,49.966 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd.json,6
1.6 s,78238826,50.000 MHz,78185837,49.966 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd.json,7
1.6 s,78239044,50.000 MHz,78185837,49.966 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd.json,8
1.6 s,78239994,50.000 MHz,78185837,49.965 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd.json,9
1.6 s,78240282,50.000 MHz,78185837,49.965 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd.json,10
7.7 s,385064774,50.000 MHz,384914882,49.980 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-10.json,1
7.7 s,385067934,50.000 MHz,384914882,49.980 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-10.json,2
7.7 s,385064246,50.000 MHz,384914882,49.980 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-10.json,3
7.7 s,385067301,50.000 MHz,384914882,49.980 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-10.json,4
7.7 s,385067388,50.000 MHz,384914882,49.980 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-10.json,5
7.7 s,385066781,50.000 MHz,384914882,49.980 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-10.json,6
7.7 s,385068366,50.000 MHz,384914882,49.980 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-10.json,7
7.7 s,385067204,50.000 MHz,384914882,49.980 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-10.json,8
7.7 s,385070482,50.000 MHz,384914882,49.980 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-10.json,9
7.7 s,385068109,50.000 MHz,384914882,49.980 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-10.json,10
35.0 s,1748748205,50.000 MHz,1748155082,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-50.json,1
35.0 s,1748752173,50.000 MHz,1748155082,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-50.json,2
35.0 s,1748750055,50.000 MHz,1748155082,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-50.json,3
35.0 s,1748743552,50.000 MHz,1748155082,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-50.json,4
35.0 s,1748754862,50.000 MHz,1748155082,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-50.json,5
35.0 s,1748734949,50.000 MHz,1748155082,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-50.json,6
35.0 s,1748756264,50.000 MHz,1748155082,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-50.json,7
35.0 s,1748749518,50.000 MHz,1748155082,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-50.json,8
35.0 s,1748745367,50.000 MHz,1748155082,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-50.json,9
35.0 s,1748746418,50.000 MHz,1748155082,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-50.json,10
69.1 s,3453339056,50.000 MHz,3452205332,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-100.json,1
69.1 s,3453346372,50.000 MHz,3452205332,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-100.json,2
69.1 s,3453341417,50.000 MHz,3452205332,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-100.json,3
69.1 s,3453339381,50.000 MHz,3452205332,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-100.json,4
69.1 s,3453346283,50.000 MHz,3452205332,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-100.json,5
69.1 s,3453338216,50.000 MHz,3452205332,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-100.json,6
69.1 s,3453357282,50.000 MHz,3452205332,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-100.json,7
69.1 s,3453342605,50.000 MHz,3452205332,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-100.json,8
69.1 s,3453345662,50.000 MHz,3452205332,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-100.json,9
69.1 s,3453340820,50.000 MHz,3452205332,49.983 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_bridge_singlecore_4GB_no_nic,bare-gcd-100.json,10
7.8 s,78215727,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd.json,1
7.8 s,78215389,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd.json,2
7.8 s,78216163,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd.json,3
7.8 s,78215670,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd.json,4
7.8 s,78216529,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd.json,5
7.8 s,78216696,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd.json,6
7.8 s,78216069,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd.json,7
7.8 s,78215854,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd.json,8
7.8 s,78215878,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd.json,9
7.8 s,78216310,10.000 MHz,78185837,9.996 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd.json,10
38.5 s,384986461,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-10.json,1
38.5 s,384986603,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-10.json,2
38.5 s,384987247,10.000 MHz,384914882,9.998 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic_10,bare-gcd-10.json,3
